track_id,h5_path,midi_path,cluster,distance_to_centroid
TRAAAGR128F425B14B,..\data\dataset\A\A\A\TRAAAGR128F425B14B.h5,..\data\raw_midi\A\A\A\TRAAAGR128F425B14B\1d9d16a9da90c090809c153754823c2b.mid,6,3.803927
TRAAAZF12903CCCF6B,..\data\dataset\A\A\A\TRAAAZF12903CCCF6B.h5,..\data\raw_midi\A\A\A\TRAAAZF12903CCCF6B\05f21994c71a5f881e64f45c8d706165.mid,6,3.140137
TRAABVM128F92CA9DC,..\data\dataset\A\A\B\TRAABVM128F92CA9DC.h5,..\data\raw_midi\A\A\B\TRAABVM128F92CA9DC\0dd4d2b9fbcf96a0fa363a1918255e58.mid,7,3.9576485
TRAABXH128F42955D6,..\data\dataset\A\A\B\TRAABXH128F42955D6.h5,..\data\raw_midi\A\A\B\TRAABXH128F42955D6\01ffb8729a2465bfa7f9ba0288c89e24.mid,7,2.9465358
TRAACQE12903CC706C,..\data\dataset\A\A\C\TRAACQE12903CC706C.h5,..\data\raw_midi\A\A\C\TRAACQE12903CC706C\1ee7c9ad5f18b2659789d9608c951ca5.mid,1,3.4669318
TRAADKW128E079503A,..\data\dataset\A\A\D\TRAADKW128E079503A.h5,..\data\raw_midi\A\A\D\TRAADKW128E079503A\3797e9b9a101c110b7375c74dd4c70b1.mid,7,3.613359
TRAAEEH128E0795DFE,..\data\dataset\A\A\E\TRAAEEH128E0795DFE.h5,..\data\raw_midi\A\A\E\TRAAEEH128E0795DFE\1d4bc885db6d9522de2d6636cf8b0e7e.mid,1,3.001332
TRAAEJH128E0785506,..\data\dataset\A\A\E\TRAAEJH128E0785506.h5,..\data\raw_midi\A\A\E\TRAAEJH128E0785506\8644d702d122b16d60cb7117e974bde9.mid,1,3.3005073
TRAAFMT128F429DB58,..\data\dataset\A\A\F\TRAAFMT128F429DB58.h5,..\data\raw_midi\A\A\F\TRAAFMT128F429DB58\0a4f2051b572ebe007647fcab0114dd8.mid,5,4.045872
TRAAGCZ128F93210FD,..\data\dataset\A\A\G\TRAAGCZ128F93210FD.h5,..\data\raw_midi\A\A\G\TRAAGCZ128F93210FD\ed659b5f46e1530fea93bc3b61ae4164.mid,6,3.645675
TRAAGKR12903CFC1E5,..\data\dataset\A\A\G\TRAAGKR12903CFC1E5.h5,..\data\raw_midi\A\A\G\TRAAGKR12903CFC1E5\9f485e9941f346678570d04d20fc90a5.mid,1,2.3813455
TRAAGMC128F4292D0F,..\data\dataset\A\A\G\TRAAGMC128F4292D0F.h5,..\data\raw_midi\A\A\G\TRAAGMC128F4292D0F\0644195d1a3d14e0a0bd3d8b30dc68da.mid,1,3.1052861
TRAAGMJ12903CAD7D4,..\data\dataset\A\A\G\TRAAGMJ12903CAD7D4.h5,..\data\raw_midi\A\A\G\TRAAGMJ12903CAD7D4\f581b1b49a489237dacdad231ffd93d0.mid,1,2.8919146
TRAAHOQ12903CC6A5A,..\data\dataset\A\A\H\TRAAHOQ12903CC6A5A.h5,..\data\raw_midi\A\A\H\TRAAHOQ12903CC6A5A\5770cb9a2a7e9504924e47bf9ac6d772.mid,1,2.752606
TRAAJSX128F4275A1D,..\data\dataset\A\A\J\TRAAJSX128F4275A1D.h5,..\data\raw_midi\A\A\J\TRAAJSX128F4275A1D\5371900e23c32e3df9acc18c6ec007ca.mid,7,3.2320888
TRAAKDJ12903D09573,..\data\dataset\A\A\K\TRAAKDJ12903D09573.h5,..\data\raw_midi\A\A\K\TRAAKDJ12903D09573\6a1d2c23184432ac2f466a2bea7d3fb6.mid,5,4.740712
TRAAKLG128F93453BB,..\data\dataset\A\A\K\TRAAKLG128F93453BB.h5,..\data\raw_midi\A\A\K\TRAAKLG128F93453BB\773cf705f2a810394ce3677477045194.mid,5,5.5409126
TRAAKMU128F9355D15,..\data\dataset\A\A\K\TRAAKMU128F9355D15.h5,..\data\raw_midi\A\A\K\TRAAKMU128F9355D15\2916a5fa9a03b6718497df02324b56d5.mid,5,4.3206396
TRAAKOM12903D14D9F,..\data\dataset\A\A\K\TRAAKOM12903D14D9F.h5,..\data\raw_midi\A\A\K\TRAAKOM12903D14D9F\e6ff782caed26e61bd117a362285fcb9.mid,3,4.4639006
